x,y,z,directionX,directionY,directionZ,q_magnitude
1.25,-1.25,0.25,-0.0240028,-0.616544,0.786954,2.4638e-06
0.5,-1,0,0.316941,-0.342372,0.884494,5.35289e-06
0.75,-0.75,0.25,0.0683782,-0.558878,0.826426,2.49473e-06
1,-1,-0.5,0.355312,-0.278325,0.89235,1.29881e-05
1.25,-0.75,-0.25,0.0990946,-0.587309,0.803273,5.05103e-06
0.5,-1.5,0.5,0.209057,-0.450475,0.867968,2.24625e-06
0.75,-1.25,0.75,-0.0369535,-0.573446,0.81841,1.2858e-06
1,-1.5,1,0.0803487,-0.507731,0.85776,1.59156e-06
1.25,-1.25,1.25,-0.144945,-0.547238,0.824331,9.91178e-07
0.5,-1,1,0.192572,-0.456125,0.86883,1.74756e-06
0.75,-0.75,1.25,-0.0102978,-0.496295,0.868093,1.0441e-06
1,-1,0.5,0.232343,-0.420987,0.876805,3.77514e-06
1.25,-0.75,0.75,-0.0116216,-0.54124,0.840788,1.98016e-06
0.5,-1.5,1.5,0.0421502,-0.524195,0.850554,8.02164e-07
1,-1,1.5,0.0584934,-0.49928,0.864464,1.27466e-06
0.5,-0.5,-1.5,0.217729,-0.559314,0.799851,2.9763e-05
0.75,-0.25,-1.25,0.279751,-0.417872,0.864362,8.39521e-06
1,-0.5,-1,0.254072,-0.455593,0.85316,3.42391e-05
1.25,-0.25,-0.75,0.215506,-0.517815,0.827904,1.3221e-05
0.5,0,-1,0.299862,-0.396415,0.86772,3.072e-05
0.75,0.25,-0.75,0.267019,-0.458885,0.847423,1.18707e-05
1,0,-1.5,0.272721,-0.513302,0.813723,4.60187e-05
1.25,0.25,-1.25,0.328768,-0.348306,0.877835,1.31921e-05
0.5,-0.5,-0.5,0.387584,-0.220031,0.89519,1.29006e-05
0.75,-0.25,-0.25,0.169212,-0.528761,0.831733,4.7939e-06
1,-0.5,0,0.338606,-0.311034,0.888034,9.12305e-06
1.25,-0.25,0.25,0.106911,-0.522522,0.845896,3.8666e-06
0.5,0,0,0.385305,-0.254468,0.88701,8.77108e-06
0.75,0.25,0.25,0.188687,-0.46754,0.863599,3.56272e-06
1,0,-0.5,0.406855,-0.186068,0.894342,2.20641e-05
1.25,0.25,-0.25,0.218468,-0.486502,0.845924,7.42228e-06
0.5,-0.5,0.5,0.306023,-0.364251,0.879586,3.88151e-06
0.75,-0.25,0.75,0.0952535,-0.483644,0.870066,1.95538e-06
1,-0.5,1,0.214475,-0.42744,0.878234,2.85739e-06
1.25,-0.25,1.25,0.0113858,-0.465006,0.885234,1.57108e-06
0.5,0,1,0.300441,-0.371213,0.878599,2.88598e-06
0.75,0.25,1.25,0.131339,-0.406448,0.904185,1.51941e-06
1,0,0.5,0.32971,-0.331372,0.884016,6.46572e-06
1.25,0.25,0.75,0.130137,-0.449162,0.883922,2.97007e-06
0.5,-0.5,1.5,0.183174,-0.448163,0.874984,1.37579e-06
1,0,1.5,0.202213,-0.42169,0.883905,2.18024e-06
0.5,0.5,-1.5,0.314965,-0.471324,0.823803,3.83969e-05
0.75,0.75,-1.25,0.367866,-0.282022,0.88608,1.15161e-05
1,0.5,-1,0.346164,-0.346153,0.87198,4.89385e-05
1.25,0.75,-0.75,0.322427,-0.402209,0.856895,1.83313e-05
0.5,1,-1,0.385255,-0.299187,0.872964,3.99377e-05
0.75,1.25,-0.75,0.370968,-0.356608,0.857446,1.49634e-05
1,1,-1.5,0.371214,-0.421836,0.827196,5.77081e-05
1.25,1.25,-1.25,0.417199,-0.20638,0.885072,1.78323e-05
0.5,0.5,-0.5,0.436256,-0.130012,0.890381,2.0023e-05
0.75,0.75,-0.25,0.281125,-0.438893,0.853429,6.38777e-06
1,0.5,0,0.409199,-0.21742,0.886163,1.47344e-05
1.25,0.75,0.25,0.234233,-0.428918,0.872447,5.42236e-06
0.5,1,0,0.447986,-0.165063,0.878671,1.29794e-05
0.75,1.25,0.25,0.305712,-0.386284,0.870244,4.54404e-06
1,1,-0.5,0.459157,-0.0890597,0.883879,3.36424e-05
1.25,1.25,-0.25,0.334832,-0.394271,0.855826,9.6753e-06
0.5,0.5,0.5,0.387175,-0.276476,0.879578,6.08126e-06
0.75,0.75,0.75,0.223798,-0.395732,0.89068,2.67347e-06
1,0.5,1,0.323989,-0.338555,0.883409,4.67096e-06
1.25,0.75,1.25,0.16447,-0.374423,0.912555,2.23831e-06
0.5,1,1,0.389289,-0.283988,0.876245,4.33145e-06
0.75,1.25,1.25,0.267621,-0.321354,0.908356,1.97836e-06
1,1,0.5,0.412977,-0.237787,0.879151,9.96462e-06
1.25,1.25,0.75,0.266974,-0.360274,0.893828,3.95987e-06
0.5,0.5,1.5,0.297214,-0.365131,0.882238,2.17358e-06
