x,y,z,directionX,directionY,directionZ,q_magnitude
0.5,0.5,-1.5,0.144712,-0.669803,-0.728301,1.40598e-06
0.75,0.75,-1.25,-0.37478,-0.116212,-0.919801,5.20302e-07
1,0.5,-1,0.594873,-0.372563,-0.712266,6.02795e-06
1.25,0.75,-0.75,0.225088,0.309392,-0.923911,1.6634e-06
0.5,1,-1,0.340939,-0.521914,-0.781899,4.61176e-06
0.75,1.25,-0.75,0.0311295,0.125835,-0.991563,1.79669e-06
1,1,-1.5,0.447219,-0.759088,-0.473056,1.42135e-06
1.25,1.25,-1.25,-0.0531863,-0.475195,-0.878272,3.45501e-07
0.5,0.5,-0.5,0.500665,-0.337834,-0.796996,1.78617e-05
0.75,0.75,-0.25,0.264385,0.330382,-0.906062,6.29837e-06
1,0.5,0,0.590968,-0.239819,-0.770223,8.00151e-05
1.25,0.75,0.25,0.439129,0.291564,-0.849798,2.15252e-05
0.5,1,0,0.482289,-0.380342,-0.789137,5.25729e-05
0.75,1.25,0.25,0.376437,0.236022,-0.895873,1.74126e-05
1,1,-0.5,0.545107,-0.355093,-0.759452,2.0819e-05
1.25,1.25,-0.25,0.34001,0.238169,-0.909763,5.95374e-06
0.5,0.5,0.5,0.556276,-0.318242,-0.767645,0.000180023
0.75,0.75,0.75,0.492195,0.152104,-0.857093,6.80717e-05
1,0.5,1,0.575836,-0.0707388,-0.814499,0.000433463
1.25,0.75,1.25,0.525555,-0.1173,-0.842634,0.000108166
0.5,1,1,0.515281,-0.171932,-0.839598,0.000295139
0.75,1.25,1.25,0.469344,-0.133166,-0.872916,8.12669e-05
1,1,0.5,0.531856,-0.323405,-0.782648,0.000225699
1.25,1.25,0.75,0.485301,0.0356515,-0.87362,7.24945e-05
0.5,0.5,1.5,0.576241,0.0200541,-0.817034,0.00039658
1,1,1.5,0.528685,0.0247487,-0.848457,0.000360085
0.5,1.5,-1.5,0.0433985,-0.780653,-0.623456,1.2837e-06
1,1.5,-1,0.473887,-0.568181,-0.672757,5.0609e-06
0.5,1.5,-0.5,0.379918,-0.487054,-0.78641,1.41223e-05
1,1.5,0,0.482918,-0.398295,-0.77984,6.29628e-05
0.5,1.5,0.5,0.425829,-0.459532,-0.779423,0.000140946
1,1.5,1,0.48199,-0.219101,-0.84834,0.000335631
0.5,1.5,1.5,0.486834,-0.11707,-0.865614,0.000317656
1.5,-1.5,-1.5,0.89007,0.253653,-0.378729,2.0723e-06
1.75,-1.25,-1.25,0.278762,0.958017,-0.0670485,9.97317e-07
2,-1.5,-1,0.807133,0.264094,-0.528005,1.09638e-05
2.25,-1.25,-0.75,0.447246,0.784328,-0.429884,4.93702e-06
1.5,-1,-1,0.797905,0.087762,-0.59636,9.03386e-06
1.75,-0.75,-0.75,0.400939,0.765845,-0.502723,3.17381e-06
2,-1,-1.5,0.896372,0.297166,-0.328952,3.29819e-06
2.25,-0.75,-1.25,0.505642,0.83662,-0.210695,1.45596e-06
1.5,-1.5,-0.5,0.762006,0.108963,-0.638337,3.18483e-05
1.75,-1.25,-0.25,0.449918,0.682987,-0.575415,1.14401e-05
2,-1.5,0,0.732843,0.0685611,-0.676935,9.99812e-05
2.25,-1.25,0.25,0.534974,0.506764,-0.676013,3.1531e-05
1.5,-1,0,0.713205,0.0105903,-0.700876,0.000106894
1.75,-0.75,0.25,0.512053,0.483704,-0.709812,3.15271e-05
2,-1,-0.5,0.745883,0.106595,-0.657493,3.74137e-05
2.25,-0.75,-0.25,0.497794,0.590364,-0.635351,1.29522e-05
1.5,-1.5,0.5,0.728117,0.00201817,-0.68545,0.000286254
1.75,-1.25,0.75,0.615317,0.335647,-0.713251,0.000103593
2,-1.5,1,0.675183,0.179608,-0.71545,0.00037254
2.25,-1.25,1.25,0.672866,0.0769488,-0.735751,0.000100657
1.5,-1,1,0.658961,0.138164,-0.739379,0.000450623
1.75,-0.75,1.25,0.642237,0.0499667,-0.764876,0.000120038
2,-1,0.5,0.686495,-0.0422245,-0.725908,0.000281673
2.25,-0.75,0.75,0.599317,0.246272,-0.761688,9.45102e-05
1.5,-1.5,1.5,0.639209,0.353949,-0.682739,0.000387595
2,-1,1.5,0.616027,0.288431,-0.73302,0.000354302
1.5,-0.5,-1.5,0.916435,-0.0332783,-0.398797,2.09131e-06
1.75,-0.25,-1.25,0.489491,0.838233,-0.24034,6.1611e-07
2,-0.5,-1,0.804497,0.109944,-0.583693,1.18243e-05
2.25,-0.25,-0.75,0.517614,0.642801,-0.564697,4.11939e-06
1.5,0,-1,0.763332,-0.109783,-0.636609,8.64855e-06
1.75,0.25,-0.75,0.463191,0.545876,-0.698193,2.45752e-06
2,0,-1.5,0.927607,0.0410809,-0.371293,3.32809e-06
2.25,0.25,-1.25,0.710961,0.595259,-0.374436,1.03807e-06
1.5,-0.5,-0.5,0.718006,-0.0173169,-0.695821,3.2922e-05
1.75,-0.25,-0.25,0.4623,0.543697,-0.70048,1.006e-05
2,-0.5,0,0.681293,-0.0190229,-0.731764,0.000114044
2.25,-0.25,0.25,0.520436,0.384159,-0.762606,3.03497e-05
1.5,0,0,0.651534,-0.108431,-0.75083,0.000105733
1.75,0.25,0.25,0.492931,0.344409,-0.799,2.76001e-05
2,0,-0.5,0.705555,-0.026763,-0.708149,3.84193e-05
